진주동물병원,경남,55759000,경상남도 진주시 충무공동 289-1 다인프라자,"경상남도 진주시 에나로128번길 18, 다인프라자 105호 (충무공동)",평일 10:00~19:00 점심시간 오후 1시 - 오후 2시 | 토요일 10:00~19:00 점심시간 오후 1시 - 오후 2시 | 공휴일 휴무 | 일요일 휴무
항동푸른숲동물병원,서울,220887578,"서울특별시 구로구 항동 128-14 와이제이프라자 104, 204호","서울특별시 구로구 항동로3길 4, 와이제이프라자 104, 204호 (항동)",매일 10:00~20:00
금호동물병원,서울,222810049,서울특별시 성동구 금호동2가 1217번지 래미안하이리버 상가동 비201호,"서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)",평일 10:00~20:00 | 토요일 10:00~17:30 | 일요일 12:00~17:00 | 공휴일 10:00~17:30
노아동물병원,서울,226546183,서울특별시 양천구 신정동 294-62번지,서울특별시 양천구 목동동로10길 6 (신정동),평일 10:00~20:00 | 수요일 10:00~15:00 | 토요일 10:00~20:00 | 공휴일 10:00~15:00 | 일요일 휴무
마곡M동물의료센터,서울,226627515,서울특별시 강서구 방화동 245-31,"서울특별시 강서구 방화대로33길 3, 1~2층 (방화동)",매일 00:00~24:00
모모동물병원,서울,226627975,서울특별시 강서구 마곡동 798-14번지 205호,"서울특별시 강서구 마곡중앙1로 20, 205호 (마곡동)",평일 10:00~20:00 점심시간 12:30~14:00. 접수마감 19:30 | 토요일 10:00~17:00 점심시간 12:30~14:00. 접수마감 16:30 | 공휴일 10:00~17:00 점심시간 12:30~14:00. 접수마감 16:30 | 수요일 휴무 | 일요일 휴무
정말로동물병원,서울,226918119,서울특별시 양천구 신월동 559-7 2층,"서울특별시 양천구 신월로10길 22, 2층층 (신월동)",매일 09:00~21:00 점심시간 13:00~14:00 | 화요일 휴무
24시월드펫동물메디컬센터,서울,226987582,서울특별시 양천구 신월동 602-1,서울특별시 양천구 신월로 208(신월동),
수동물병원,서울,234094640,서울특별시 성동구 송정동 79-2번지,서울특별시 성동구 광나루로 337 (송정동),매일 00:00~24:00
하니동물병원,서울,234220977,서울특별시 중랑구 신내동 648번지 디아뜨갤러리,"서울특별시 중랑구 신내로 225, 디아뜨갤러리 142호 (신내동)",매일 09:30~22:00 연중무휴
다솜동물병원,서울,234777677,서울특별시 은평구 응암동 603-52,"서울특별시 은평구 응암로 152, 101호 (응암동)",평일 09:00~21:00 | 주말 10:00~18:00 매월 첫째주 일요일  정기휴무입니다
드림동물병원,서울,236660204,서울특별시 구로구 고척동 343 고척 월드메르디앙 109동 5호,"서울특별시 구로구 중앙로8길 11, 109동 5호 (고척동, 고척 월드메르디앙)",매일 10:00~19:00 일요일을 제외한 공휴일 휴무
동대문 루시드 동물메디컬센터,서울,262170202,서울특별시 동대문구 답십리동 259-22,"서울특별시 동대문구 전농로 57-1, 동대문 루시드 동물메디컬센터 (답십리동)",
바우라움동물병원,서울,264546182,서울특별시 성동구 행당동 155-1번지 파크에비뉴 엔터식스,"서울특별시 성동구 왕십리로 241, 4층 (행당동, 서울숲 더샵)",평일 10:30~19:00 일요일 휴무 | 토요일 10:30~19:00 일요일 휴무
허브동물병원,서울,267347500,서울특별시 구로구 구로동 650-4 SK허브수 B동 205호,"서울특별시 구로구 구일로10길 27, SK허브수 B동 2층 5호 (구로동)","매일 10:00~20:00 설 당일, 추석 당일 휴무(연 2회 휴무)"
아이윌24시동물병원,서울,269257021,서울특별시 강남구 청담동 47 노블레스타워,"서울특별시 강남구 삼성로133길 3, 노블레스타워 지하1층 (청담동)",매일 00:00~24:00
24시예담동물의료센터,서울,269527519,서울특별시 은평구 역촌동 7-15 대광빌딩,"서울특별시 은평구 연서로 122, 대광빌딩 1,2층 (역촌동)",매일 00:00~24:00 연중무휴
보듬동물병원,서울,269547544,서울특별시 도봉구 쌍문동 256 에벤에셀아파트,"서울특별시 도봉구 해등로 255, 101동 1층 121~123호 (쌍문동, 에벤에셀아파트)","매일 09:00~24:00 연중무휴, 일반진료(오전 9시~오후 8시), 야간응급진료(오후 8시~자정)"
라이언펫 수원광교동물병원,경기,312117589,경기도 수원시 영통구 이의동 1319-10,"경기도 수원시 영통구 센트럴파크로127번길 154, 1층 (이의동)",
광교호수 동물병원,경기,312127515,경기도 용인시 수지구 상현동 1130-2,"경기도 용인시 수지구 광교마을로 91, 102,103호 (상현동)",매일 10:00~22:00 일요일도 진료
이리온 동물병원(병점점),경기,312267582,경기도 화성시 병점동 399-4 홈플러스 병점점,"경기도 화성시 경기대로 985, 홈플러스 병점점 2층 (병점동)",매일 10:00~19:00 진료 | 매일 13:00~14:00 점심시간 | 매일 10:00~20:30 코로나 기간 중) 병원 용품 매장 운영시간
